id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
29ECwExc-_M,All New Atlas | Boston Dynamics,UC7vVhkEfw4nOGp8TyDk7RcQ,Boston Dynamics,28,2024-04-17T12:58:26Z,"['boston dynamics', 'atlas', 'atlas robot', 'meet atlas', 'atlas robot boston dynamics', 'boston dynamics robot', 'humanoid robot', 'bipedal robot', 'humanoid atlas', 'atlas gets a grip', 'atlas parkour', 'humanoid robots', 'boston dynamics atlas', 'robot manipulation', 'boston dynamics parkour', 'atlas boston dynamics', 'partners in parkour', 'do you love me robot', 'advanced robots', 'atlas picks things up', ""what's new atlas"", 'boston dynamics history', 'boston dynamics atlas video']",1420225,60557,7792
lTjjKC9gHPM,Indie World Showcase 4.17.2024 - Nintendo Switch,UCGIY_O-8vW4rfX98KlMkvRg,Nintendo of America,20,2024-04-17T14:28:06Z,"['nintendo', 'game', 'gameplay', 'fun', 'video game', 'action', 'adventure', 'rpg', 'play', 'switch', 'nintendo switch', 'indie world']",615380,20932,2020
kTRfjkPcgS0,Barcelona vs. PSG: Extended Highlights | UCL Quarter-Finals 2nd Leg | CBS Sports,UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,17,2024-04-16T21:17:25Z,"['Champions League', 'Europa League', 'Soccer', 'UEFA', 'UCL', 'European Soccer', 'European Football', 'European Futbol', 'UEL', 'UCL Highlights', 'Champions League Highlights', 'Football', 'CBS Golazo', 'CBS', 'Micah Richards', 'Jamie Carragher', 'Thierry Henry', 'CBS Studio']",1692051,16313,2883
bErvYdbYhYE,"FlightReacts To WARRIORS at KINGS | #SoFiPlayIn | FULL GAME HIGHLIGHTS | April 16, 2023",UC_k0qgMNIW2VmTQKjFsbXDw,FlightReacts,24,2024-04-17T06:01:22Z,"['Reactions', 'Family', 'vlog', 'life', 'NBA', 'sports', 'Friends', 'fashion', 'friendly', 'nice', 'Music', 'Rap', 'Hip Hop']",289219,17773,1386
msJvIbCFkUQ,End Of An Era For The Warriors Big 3? 👀 | NBA on TNT,UCU7iRrk3xfpUk0R6VdyC1Ow,NBA on TNT,17,2024-04-17T05:15:10Z,"['NBA on TNT', 'NBA', 'Inside the NBA', 'Charles Barkley', 'Shaq', 'Kenny Smith', 'Ernie Johnson']",685882,8834,1702
1HSMic6xyqY,Playing Golf With SKETCH!,UClljAz6ZKy0XeViKsohdjqA,gm__golf,24,2024-04-16T21:05:23Z,"['golf', 'golfer', 'golfing', 'golfers', 'golf vlog', 'challenge', 'golf challenge', 'course vlog', 'vlogging', 'golf vlogger', 'GM GOLF', 'Garrett Clark', 'Good Good', 'Micah Morris', 'vlogger']",465678,16089,943
qAhK4LutXFE,Rod Wave - Numb (Official Video),UCenjunBhBhvKjfDAESnoppw,RodWave,10,2024-04-16T04:00:07Z,"['rod wave', 'hunger games', 'hunger games 3', 'ptsd', 'ghetto gospel', 'kevin gates', 'soulfly', 'soulfly deluxe', 'tiktok', 'kodak black', 'lil durk', 'nba youngboy', 'fredo bang', 'toosii', 'yung bleu', 'no cap', 'heart on ice', 'moneybagg yo', 'mo3', 'time heals', 'tombstone', 'florida', 'st petersburg', 'tampa', 'jaydayungan']",1416253,100928,5268
vtmPp1RFGAY,"DaBaby Freestyles Over Metro Boomin & Future's ""Like That"" And Sexyy Red's ""Get It Sexyy"" Beats",UCBKIrKI8ezApiTVkEknu6xg,Power 106 Los Angeles,24,2024-04-16T22:15:07Z,"['Hip Hop News', 'Feature', 'Music', 'Rap', 'Celebrity News', 'latest news', 'freestyle', 'LA Leakers', 'Kendrick lamar', 'Drake', 'J Cole', 'Kanye West', 'Sexyy Red', 'Get It Sexyy', 'Metro Boomin', 'Future', 'Like That', 'Beef', 'Dababy']",484601,42865,3672
8mmWl4M_zuU,The Fellas Discuss The Lakers'-Nuggets 1st Round + Zion's Big Night | NBA on TNT,UCU7iRrk3xfpUk0R6VdyC1Ow,NBA on TNT,17,2024-04-17T05:54:46Z,"['NBA on TNT', 'NBA', 'Inside the NBA', 'Charles Barkley', 'Shaq', 'Kenny Smith', 'Ernie Johnson']",442797,5752,969
QztFpzKsdeA,Do Bad Reviews Kill Companies?,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,28,2024-04-16T23:34:43Z,"['MKBHD', 'product reviews', 'worst product', 'worst car', 'worst review', 'bankrupt', 'negative review']",2651523,164845,14569
tN5JACOEJFM,"""The Song Burning in the Embers"" Full Animated Short | Genshin Impact #GenshinImpact",UCiS882YPwZt1NfaM0gR0D9Q,Genshin Impact,20,2024-04-17T04:00:33Z,"['Amber', 'amber vtuber', 'genshi', 'genshi game', 'genshi impact', 'genshi video', 'genshin', 'genshin game', 'genshin impact', 'genshin impact 2020', 'genshin impact game', 'genshin impact good', 'genshin impact graphics', 'genshin impact introduction', 'genshin impact manga', 'genshin impact wiki', 'geshin', 'geshin game', 'Teyvat', 'yuanshen game', 'miHoYo China', 'miHoYo Japan', 'adventure story', 'open world game', 'anime style', 'MMORPG', 'anime games', 'mobile game', 'MMO PlayStation', 'yt:cc=on']",1695622,216645,9486
k5abCDqzdhM,"Why A $100,000 Salary Can’t Buy The American Dream",UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,25,2024-04-17T16:00:40Z,"['buying a home', 'how much do i need to buy a house', 'american dream', 'is the american dream possible', 'six figure salary', '100', '000 salary', 'why is everything so expensive', 'Job search', 'Changing jobs', 'Career moves', 'Salary increase', 'Job switching', 'how can I make more money', 'Career advancement', 'Job market trends', 'Employment trends', 'pay increase', 'how do I get a raise', 'career advice', 'career tips', 'business success', 'job hopping', 'how to get a job', 'job search strategies', 'job search 2024']",278860,5448,2367
L_JQOH1tEEA,There Are Thousands of Alien Empires in The Milky Way,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,27,2024-04-16T14:00:03Z,,2021825,106634,5640
sD0T1abpbqU,CAPTAIN AMERICA BRAVE NEW WORLD TRAILER FOOTAGE BREAKDOWN! Adamantium War?,UC7yRILFFJ2QZCykymr8LPwA,New Rockstars,24,2024-04-16T22:24:01Z,"['new rockstars', 'new rockstars youtube', 'youtube new rockstars']",454573,13135,528
dPwGJdZ2Q-o,Chief Keef & Mike WiLL Made-It - DAMN SHORTY (feat. Sexyy Red) [Official Music Video],UC0032Wkd3aCT4rRi1YOV3gQ,BigGucci Sosa,10,2024-04-16T19:00:07Z,"['Chief', 'Keef', 'Chief Keef Mike will made it', 'mike will made it', 'dirty nachos', 'dirty nachos mike will made it chief keef', 'chief keef dirty nachos', 'chief keef mike will made it dirty nachos', 'chief keef official music video', 'dirty nachos official music video', 'hip hop type beat', 'rap type beat', 'drake type beat', 'mike will made it type beat', 'lyrical lemonade', 'youtube recommended for you', 'billboard top 100']",222051,17061,1001
6GfIDwwxfsM,Neil deGrasse Tyson Explains The Three-Body Problem,UCqoAEDirJPjEUFcF2FklnBA,StarTalk,28,2024-04-16T19:19:17Z,"['startalk', 'star talk', 'startalk radio', 'neil degrasse tyson', 'neil tyson', 'science', 'space', 'astrophysics', 'astronomy', 'podcast', 'space podcast', 'science podcast', 'astronomy podcast', 'niel degrasse tyson', 'physics', 'three body problem', 'Isaac newton']",995988,32225,2309
