id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
INldTOq65QI,Stephen A. WAS SHOCKED to hear this Kevin Durant & Luka Doncic HOT TAKE 🔥 | First Take,UCVSSpcmZD2PwPBqb8yKQKBA,NBA on ESPN,17,2024-04-15T15:54:01Z,"['Stephen A. Smith', 'Stephen A.', 'Stephen A. Smith First Take', 'First Take', 'First Take ESPN', 'First Take Stephen A. Smith', 'First Take Stephen A.', 'Stephen A Smith', 'Stephen A Smith First Take', 'Stephen A First Take', 'Stephen A. Vs Shannon Sharpe', 'Shannon Sharpe', 'Shannon Sharpe First Take', 'ESPN First Take', 'Kevin Durant', 'Luka Doncic', 'Tim Legler', 'James Harden', 'Stephen A. Smith James Harden', 'James Harden Clippers', 'KD', 'Kevin Durant Phoenix Suns', 'Phoenix Suns', 'NBA on ESPN', 'ESPN NBA', 'ESPN']",113256,2320,836
WxmVxd1mBxs,life update,UC4laAHbk8VSgmvB47tsd2XQ,Eamon & Bec,19,2024-04-14T15:00:23Z,"['eamon and bec', 'emon and bec', 'bec and eamon', 'eamon and bec update', 'what happened to eamon and bec', 'what has happened to eamon and bec', 'life update', 'life update i had a baby', 'life update eamon and bec', 'latest eamon and bec', 'eamon and bec baby']",555551,77565,13222
bJAOOo4W_4s,Israel Adesanya Reacts To The INSANE UFC 300 Pay Per View,UC1oigGPZ4A6atKCnj17ow8Q,FREESTYLEBENDER,17,2024-04-14T19:35:34Z,"['dana white', 'israel adesanya', 'ufc 300', 'joe rogan', 'espn mma', 'conor mcgregor', 'alex pereira', 'jamahal hill', 'mma news', 'ufc news', 'israel adesanya interview', 'sean strickland', 'jon jones', 'ufc 300 embedded', 'max holloway', 'ufc reaction', 'islam makhachev', 'charles oliveira', 'jiri prochazka', 'alex pereira vs israel adesanya', 'alex pereira vs jamahal hill', 'dricus du plessis', 'ufc 300 full fight', 'ufc 300 press conference', 'ufc 300 promo', 'justin gaethje', 'ariel helwani']",475219,15541,2882
CIagdryZ1Mc,KNOCK OUT OF THE YEAR?! Volkanovski Reacts to UFC 300,UCsPqePbdUlmkyUYCaYg9qkw,Alexander Volkanovski,17,2024-04-15T00:32:29Z,,424283,15412,1463
3cAfa7vtnHU,We Powered A Mountain,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,22,2024-04-14T10:00:53Z,,3549522,308032,14674
xm-vOrMiYLQ,Bayer Leverkusen are BUNDESLIGA CHAMPIONS 🏆 | FULL post-match scenes 💥,UCZ7wY7MRDSygp63HIEfdQZA,Sky Sports Football,17,2024-04-14T17:54:18Z,"['Football highlights', 'football', 'sky sports', 'sky sports football', 'Bundesliga', 'Xabi Alonso', 'Bayer Leverkusen', 'Leverkusen', 'Bayer 04', 'BayArena', 'Florian Wirtz', 'Granit Xhaka', 'Bundesliga Champions', 'Bayer Levekusen', 'Levekusen', 'Grimaldo', 'Xhaka goal', 'Wirtz', 'Wirtz hat trick', 'Wirtz hat-trick', 'Writz', 'Xaka', 'Shaka', 'bundesliga other 2122']",2594936,60031,3851
y0hklGq5S7c,THE WEDDING DAY VLOG!!! Behind the Scenes of the ENTIRE DAY,UC7dw8ApJFo0hp1rVG2wnpaw,LaurDIY Vlogs,22,2024-04-14T20:52:26Z,"['laurdiy', 'laurdiy vlog', 'laurdiy vlog new', 'laurdiy new vlog', 'laurdiy new vlog channel', 'vlog', 'vlog squad', 'lauren diy', 'lauren riihimaki', 'laurdiy 2', 'vlogmas', 'laurdiy 75', 'laurdiy 75 hard', 'laurdiy 75 soft', 'laurdiy engaged', 'laurdiy proposal', 'laurdiy wedding', 'wedding planning', 'lauren and jeremy wedding', 'jeremy michaels lewis singing', 'jeremy lewis singing', 'wedding day vlog', 'laurdiy wedding vlog', 'wedding venue tour', 'hummingbird nest ranch', 'laurdiy wedding dress', 'laurdiy wedding song']",183570,12741,1327
XJfqf0rbXCw,Can You Beat DARK SOULS 2 With Only Scythes?,UC6LBo0GXFaUtf-mWccqfw-w,The Backlogs,20,2024-04-14T15:00:27Z,"['the backlogs', 'challenge run', 'dark souls', 'dark souls 1', 'dark souls 2', 'dark souls 3', 'elden ring', 'dark souls challenge run', 'dark souls 2 challenge run', 'dark souls 3 challenge run', 'elden ring challenge run', 'dark souls scythe', 'dark souls scythe only', 'dark souls 2 scythe', 'dark souls 2 scythe only', 'dark souls 3 scythe', 'dark souls 3 scythe only', 'elden ring scythe', 'elden ring scythe only', 'scythe only challenge run', 'dark souls scythe how to', 'the backlogs scythe']",295690,19935,987
IZJdHi0lwVk,Jaiden and I attempted a 2 Person Nuzlocke,UCBODyKF0JMbUd6D9Bklyzbw,Alpharad,20,2024-04-14T22:00:09Z,['alpharad'],544079,42071,1060
t5NrDV6c3Fg,Drake - Push Ups (KENDRICK LAMAR DISS) | FIRST REACTION,UC6mOZQ0XfDeb-C6yUZB7JrA,VibeVilla,10,2024-04-14T20:46:03Z,"['vibevilla', 'reaction', 'review', 'drake', 'kendrick Lamar', 'like that', 'push ups', 'drop and give me 50']",129142,6408,960
