id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
h9KBcib8pHc,Max Holloway KOs Justin Gaethje to Win the BMF Belt at UFC 300!,UCvgfXK4nTYKudb0rFR6noLA,UFC,17,2024-04-14T04:33:57Z,"['ufc', 'mma', 'ultimate fighting championship', 'justin gaethje', 'max holloway', 'KO', 'ufc300']",4154011,104920,10932
86qKgK0asGo,Beavis and Butt-Head - SNL,UCqFzWxSCi39LnW1JKFR3efg,Saturday Night Live,23,2024-04-14T05:52:13Z,"['SNL04132024', 'snl', 'saturday night live', 'snl 49', 'saturday night live season 49', 'ryan gosling', 'snl host ryan gosling', 'saturday night live ryan gosling', 'beavis and butthead', 'mikey day', 'chloe fineman', 'heidi gardner', 'james austin johnson', 'punkie johnson', 'kenan thompson', 'king of the hill', 'hank hill', 'beavis', 'butthead', 'Ryan Gosling', 'Barbie', 'Ken', ""I'm Just Ken"", 'La La Land', 'Chris Stapleton', 'Blade Runner 2049', 'Drive', 'Fall Guy', 'The Nice Guys', 'The Gray Man', 'papyrus', 'hosting']",2881804,59684,3899
Z-zLBDmB6Fc,Rick Ross - Champagne Moments (Drake Diss) (AUDIO),UC2SfCLE_jQgPwXQCWqwVIEw,DatPiff,10,2024-04-14T00:20:13Z,"['hip hop music', 'music youtube', 'new hip hop', 'songs', 'world star', 'hiphop songs', 'new rap', 'hiphopmusic', 'video music', 'video official', 'music video', 'youtube worldstar', 'music news', 'fetty wap', 'rick ross', 'soulja boy', 'xxxtentacion', 'migos', 'uzi', 'bryson tiller', 'drake', 'Dat Piff', 'Mixtapes', 'Music', 'Meek Mill', 'Chance The Rapper', 'Wiz Khalifa', 'Young Thug', 'mixtapes', 'my mixtapez', 'spinrilla', 'hotnewhiphop', 'spotify', 'hip hop', 'trap', '2019', '2019 hip hop', 'hip hop singles']",1420090,41315,9369
NVDPGPwcFPs,Alex Pereira knocks out Jamahal Hill and delivers the COLDEST celebration of all time 🥶 #UFC300,UC4i_9WvfPRTuRWEaWyfKuFw,TNT Sports,17,2024-04-14T05:41:49Z,"['TNT Sports', 'TNT Football', 'TNT', 'Discovery', 'Eurosport', 'Warner Bros.', 'Cricket', 'Football', 'UFC', 'Boxing', 'Premier League', 'Arsenal', 'Liverpool', 'Manchester United', 'Chelsea', 'Tottenham', 'Manchester City', 'Tyson Fury', 'Oleksandr Usyk', 'Joe Joyce', 'Bukayo Saka', 'Erling Haaland', 'Mohamed Salah', 'Bruno Fernandes', 'Conor McGregor', 'Dana White', 'MMA', 'Khabib Nurmagomedov', 'Moto GP', 'UEFA Champions League', 'Real Madrid', 'UEFA Europa League', 'UCL', 'UEL', 'Soccer', 'Tennis', 'Rugby', 'Olympics', 'Cycling', 'Baseball', 'WWE', 'Wrestling', 'Golf', 'F1', 'Sport']",1894994,12687,1392
TG9dx1NrL3Y,UFC 300: Post-Fight Press Conference,UCvgfXK4nTYKudb0rFR6noLA,UFC,17,2024-04-14T07:40:21Z,"['ufc', 'mma', 'ultimate fighting championship', 'press conference', 'dana white', 'vegas 90', 'allen vs curtis 2']",1382081,26973,3010
dYTuZMRFhFY,Coachella Stage 🔴 Live from Coachella 2024,UCHF66aWLOxBW4l6VkSrS3cQ,Coachella,10,2024-03-15T20:20:45Z,,,198099,0
8Tt5hh7gVVw,I Tested 1-Star Hotels (again),UCnmGIkw-KdI0W5siakKPKog,Ryan Trahan,24,2024-04-13T15:00:04Z,"['Ryan', 'Trahan']",4419838,171835,11362
3cAfa7vtnHU,We Powered A Mountain,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,22,2024-04-14T10:00:53Z,,2779410,250256,12078
7oLK1VcvROg,Sahara 🔴 Live from Coachella 2024,UCHF66aWLOxBW4l6VkSrS3cQ,Coachella,10,2024-03-15T20:27:26Z,,,141752,0
9B-8Zz7tcrY,Sporting Kansas City vs. Inter Miami CF | Historic crowd! 72k+ In Attendance | Full Match Highlights,UCSZbXT5TLLW_i-5W8FZpFsg,Major League Soccer,17,2024-04-14T03:13:01Z,"['D. Gómez', 'Erik Thommy', 'Felipe Hernández', 'J. Alba', 'L. Messi', 'L. Suárez', 'M. Weigandt', 'PLAYS', 'Sporting Kansas City vs. MIA', 'Willy Agada']",1303600,33534,1597
8p9NPLvlrv0,I Tried Every Airline In America,UCyps-v4WNjWDnYRKmZ4BUGw,Airrack,24,2024-04-13T16:23:06Z,,723569,37982,2712
