id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
FALlhXl6CmA,Conan O'Brien Needs a Doctor While Eating Spicy Wings | Hot Ones,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,24,2024-04-11T15:00:10Z,"['First we feast', 'fwf', 'firstwefeast', 'food', 'food porn', 'cook', 'cooking', 'chef', 'recipe', 'cocktail', 'bartender', 'craft beer', 'complex', 'complex networks', 'spicy food', 'foodie', 'burgers', 'food documentary', 'conan', ""Late Night with Conan O'Brien"", ""The Tonight Show with Conan O'Brien"", 'NBC', 'SNL', 'Saturday night live']",996075,113787,14671
U4JYAx5rNRA,Bridgerton Season 3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,24,2024-04-11T13:00:00Z,"['Adjoa Andoh', 'Bridgerton', 'Bridgerton Netflix', 'Bridgerton Season 3', 'Bridgerton Season 3 Trailer', 'Bridgerton Series', 'Charithra Chandran', 'Claudia Jessie', 'Florence Hunt', 'Golda Rosheuvel', 'Harriet Cains', 'Jessica Madsen', 'Jonathan Bailey', 'Julia Quinn', 'Julie Andrews', 'Luke Newton', 'Luke Thompson', 'Martins Imhangbe', 'Nicola Coughlan', 'Phoebe Dynevor', 'Polly Walker', 'Ruby Stokes', 'Ruth Gemmell', 'Shonda Rhimes', 'Shondaland', 'Simone Ashley']",1784253,101554,4390
xy8aJw1vYHo,Joker: Folie à Deux | Official Teaser Trailer,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,1,2024-04-10T00:53:54Z,"['2024', 'Arthur Fleck', 'Coming Soon', 'DC', 'DC Comics', 'Harley Quinn', 'Joaquin Phoenix', 'Joker', 'Joker 2', 'Joker Movie', 'Joker2', 'Joker: Folie a Deux', 'Joker: Folie à Deux', 'JokerFolieàDeux', 'JokerMovie', 'Lady Gaga', 'Todd Phillips', 'Trailer', 'WB', 'Warner Bros', 'Warner Brothers']",16707695,594522,29356
QJOBC9O4YAk,PSG vs. Barcelona: Extended Highlights | UCL Quarter-Finals 1st Leg | CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,17,2024-04-10T21:13:53Z,"['Champions League', 'Europa League', 'Soccer', 'UEFA', 'UCL', 'European Soccer', 'European Football', 'European Futbol', 'UEL', 'UCL Highlights', 'Champions League Highlights', 'Football', 'CBS Golazo', 'CBS', 'Micah Richards', 'Jamie Carragher', 'Thierry Henry', 'CBS Studio']",1341998,16430,1723
7D0wFf4GqLI,Coming Soon: New Pokémon GO Updates,UCA698bls2pjQyiqP9N-iaeg,Pokémon GO,20,2024-04-11T13:00:06Z,"['Pokémon', 'Pokémon GO', 'Niantic', 'Niantic Labs', 'Pikachu', 'The Pokémon Company', 'The Pokémon Company International']",270528,3371,1352
BlUxw-0lS94,Season 10: Venture Forth | Overwatch 2 Official Trailer,UClOf1XXinvZsy4wKPAkro2A,PlayOverwatch,20,2024-04-11T16:00:16Z,"['Overwatch 2', 'Overwatch']",369624,26706,2917
9B9eR0IOK18,Kodak Black - Stressed Out [Official Music Video],UChEYVadfkMCfrKUi6qr3I1Q,Kodak Black,10,2024-04-11T01:30:08Z,"['kodak', 'black', 'kodak black', 'atlantic records', 'roll in peace', 'codeine dreaming', 'tunnel vision', 'drowning', 'transportin', 'heart break kodak', 'project baby 2', 'Kodak Black Bill Israel', 'Bill Israel', 'Sniper', 'Sniper Gang', 'Hip Hop', 'Rap', 'Kodak Black I Knew It', 'Kodak Bill Israel', 'Kodak Black Easter in Miami', 'Easter', 'Easter in Miami', 'Kodak Easter', 'Kodak Black Haitian Boy Kodak', 'Haitian Boy Kodak', 'Kodak Black HBK', 'HBK', 'Kodak Black Happy Birthday Kodak', 'Happy Birthday Kodak']",621520,64094,5617
8d4mtlZDMo4,Real Madrid vs. Man. City: Extended Highlights | UCL Quarter-Finals 1st Leg | CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,17,2024-04-09T21:32:19Z,"['Champions League', 'Europa League', 'Soccer', 'UEFA', 'UCL', 'European Soccer', 'European Football', 'European Futbol', 'UEL', 'UCL Highlights', 'Champions League Highlights', 'Football', 'CBS Golazo', 'CBS', 'Micah Richards', 'Jamie Carragher', 'Thierry Henry', 'CBS Studio']",2036200,25636,2417
S8aKWCxiLps,Fortnite x Avatar: Elements - Gameplay Trailer,UClG8odDC8TS6Zpqk9CGVQiQ,Fortnite,20,2024-04-11T14:00:06Z,['yt:cc=on'],388175,26491,1809
rQovYh9lMBY,Gil's Arena GETS HONEST About Bronny's NBA Chances,UCAvjYgmwadC682OoC4Cc6TQ,Gil's Arena,17,2024-04-11T00:00:19Z,"['bronny james', 'bronny james highlights', 'bronny james usc', 'bronny james Lebron', 'lebron', 'lebron james', 'lebron highlights', 'lebron lakers', 'lebron bronny', 'nba', 'nba podcast', 'gilbert arenas', 'gilbert arenas podcast', 'gils arena', 'gilsarena', 'nba highlights', 'nba live', 'nba news', 'bronny highlights', 'bronny', 'podcast p', 'shannon sharpe', 'nightcap', 'club shay shay', 'pat bev podcast', 'first take', 'nba espn', 'tnt', 'bronny nba draft', 'nba draft', 'lebron james podcast', 'mind the game', 'rasheed wallace', 'sheed']",345887,5097,2568
TjVXrw80MfU,I Built The Most Over The Top End Portal In Minecraft Hardcore,UC_GDu2QH3kp6vJlgEYyqjUA,Kolanii,20,2024-04-11T14:00:17Z,"['kolanii', 'I Built The Most Over The Top End Portal In Minecraft Hardcore', 'minecraft', 'hardcore']",234750,28058,1890
FpOzMBwjSK0,[4K] BABYMONSTER “SHEESH” Band LIVE Concert 세상을 SHEESH하게 만들 베몬 밴드라이브😈 [it’s KPOP LIVE 잇츠라이브],UCB9e3pof1o83aa0kkaoeJGA,it's Live,24,2024-04-11T08:00:08Z,"['BABYMONSTER', 'SHEESH', '베이비몬스터', '루카', '파리타', '아사', '라미', '로라', '치키타', '아현', 'YG', '와이지', '양현석', '블랙핑크', '2NE1', 'KPOP Group', 'KPOP Idol', 'KPOP', 'MDR', '잇츠라이브', 'itsLive', 'Band', 'Band LIVE', '밴드', '밴드라이브', '콘서트', '온라인콘서트', '온콘', '공연', '축제']",2408941,342863,18687
4ZCnIOI7zLw,2024 Honorary Starters at the Masters,UCSZxaHGo1OEs06vQumIooug,The Masters,17,2024-04-11T14:27:53Z,"['Masters', 'Tournament', 'Golf', 'Augusta', 'National', 'Club']",187201,2308,294
oQkQv1ULyzs,"Kendall Jenner’s Guide to “Spring French Girl"" Makeup | Beauty Secrets | Vogue",UCRXiA3h1no_PFkb1JCP0yMA,Vogue,24,2024-04-11T16:00:09Z,"['beauty', 'beauty secrets', 'celebrity', 'celebrity makeup tutorial', 'fashion', 'how to', 'how-to', 'kendall jenner', 'kendall jenner beauty', 'kendall jenner beauty secrets', 'kendall jenner get ready with me', 'kendall jenner getting ready', 'kendall jenner getting ready routine', 'kendall jenner look', 'kendall jenner makeup', 'kendall jenner makeup tutorial', 'kendall jenner routine', 'kendall jenner skincare', 'makeup tutorial', 'vogue', ""women's lifestyle""]",270809,16501,636
YQfC90O9HlI,I Built an Invisible Katana (it's indestructible),UC6ktP3PLU5sAJxN9Rb0TALg,Mike Shake,24,2024-04-10T17:59:52Z,"['mike shake', 'Skills', 'Learning new skills', 'Learn skills', 'learning skills', 'yesgo', 'mike', 'mike skills']",993595,37162,2160
