id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
51zjlMhdSTE,Sabrina Carpenter - Espresso (Official Audio),UCPKWE1H6xhxwPlqUlKgHb_w,Sabrina Carpenter,10,2024-04-12T00:00:02Z,,753360,57490,2820
xy8aJw1vYHo,Joker: Folie à Deux | Official Teaser Trailer,UCjmJDM5pRKbUlVIzDYYWb6g,Warner Bros. Pictures,1,2024-04-10T00:53:54Z,"['2024', 'Arthur Fleck', 'Coming Soon', 'DC', 'DC Comics', 'Harley Quinn', 'Joaquin Phoenix', 'Joker', 'Joker 2', 'Joker Movie', 'Joker2', 'Joker: Folie a Deux', 'Joker: Folie à Deux', 'JokerFolieàDeux', 'JokerMovie', 'Lady Gaga', 'Todd Phillips', 'Trailer', 'WB', 'Warner Bros', 'Warner Brothers']",30362824,882708,41434
djIufZ7Fyms,I made FLAPPY BIRD in DUMB programs,UC0e3QhIYukixgh5VVpKHH9Q,Code Bullet,27,2024-04-12T00:29:38Z,"['artificial', 'intelligence', 'coding', 'processing', 'java', 'machine', 'learning', 'genetic', 'algorithm', 'evolution', 'computer', 'science', 'programming', 'comedy', 'educational']",1084206,92097,3665
QJOBC9O4YAk,PSG vs. Barcelona: Extended Highlights | UCL Quarter-Finals 1st Leg | CBS Sports Golazo,UCET00YnetHT7tOpu12v8jxg,CBS Sports Golazo,17,2024-04-10T21:13:53Z,"['Champions League', 'Europa League', 'Soccer', 'UEFA', 'UCL', 'European Soccer', 'European Football', 'European Futbol', 'UEL', 'UCL Highlights', 'Champions League Highlights', 'Football', 'CBS Golazo', 'CBS', 'Micah Richards', 'Jamie Carragher', 'Thierry Henry', 'CBS Studio']",1671985,18581,1926
bi8niVLlI48,Becky G - MERCEDES (Official Video) ft. Oscar Maydon,UCJrREGJ2R1mMuKJkZ8SMCcA,BeckyGVEVO,10,2024-04-11T23:00:06Z,"['Becky feat. Oscar Maydon', 'MERCEDES', 'Becky Oscar Maydon Mercedes', 'Becky', 'Becky 2024', 'Oscar Maydon', 'Oscar Maydon 2024', 'Becky Mercedes', 'Oscar Maydon Mercedes', 'Mercedes letra', 'Mercedes lyrics', 'Becky letra', 'Becky lyrics', 'Oscar Maydon letra', 'Mercedes Official Video', 'Mercedes Video Oficial', 'Regional Mexican', 'Musica Mexicana']",579388,29917,1325
AqBqTCqqbnU,Zach Bryan - Like Ida,UCwK3C8Vgphad4PweezfUBAQ,Zach Bryan,10,2024-04-11T19:30:46Z,,256464,14393,667
g2N1CaSDOCg,"Goldman's father reflects on OJ's death, addresses his 'new normal'",UCu7G08TrwPx_0WH4M7OxjIQ,12 News,25,2024-04-11T23:18:16Z,"['[ valley', 'local ]', 'news']",466472,5570,2927
BlUxw-0lS94,Season 10: Venture Forth | Overwatch 2 Official Trailer,UClOf1XXinvZsy4wKPAkro2A,PlayOverwatch,20,2024-04-11T16:00:16Z,"['Overwatch 2', 'Overwatch']",651211,33182,3587
8rCZzAOEzvg,"Feid, Yandel - MANIFESTING 20-05 (Official Videos)",UCRHZrsFKNop3EHMoWkgdccg,FeidVEVO,10,2024-04-12T00:00:11Z,"['Manifesting', 'manifesting 20-05', 'Feid', 'ferxxo', 'Yandel', 'Feid Yandel', 'fecha', 'fecha feid', 'fecha yandel', 'fecha feid yandel', 'alakran feid', 'FERXXOCALIPSIS', 'album feid', 'feid nuevo album', 'nueva cancion feid', 'bubalu', 'ferxxo 151', 'fecha letra feid yandel', 'yandel 150', 'xq te pones asi', 'yandel encantadora', 'mamosota yandel manuel turizo', 'niña bonita', 'porfa remix', 'chimbita', 'feid canciones', 'feid canción nueva', 'relajate feid', 'feid 19', 'feid album', 'feid']",1433417,73111,2821
RFoYJrYv5Tk,Tiger Woods Second Round | Every Single Shot | The Masters,UCSZxaHGo1OEs06vQumIooug,The Masters,17,2024-04-12T21:44:36Z,"['Masters', 'Tournament', 'Golf', 'Augusta', 'National', 'Club']",575073,4038,539
dkGUTfdVGuI,"Billie Eilish: ""CHIHIRO"" Teaser & ‘HIT ME HARD AND SOFT’ | Apple Music",UCBv7HEHuVlNAELGi5XJd85Q,Apple Music,10,2024-04-12T17:08:32Z,"['apple', 'music', 'apple music', 'apple music youtube', 'youtube apple music', 'apple music 1', 'billie eilish', 'billie', 'billie eilish hit me hard and soft', 'hit me hard and soft', 'hit me hard and soft billie eilish', 'album', 'album interview', 'interview', 'billie eilish interview', 'zane lowe', 'zane lowe interview', 'billie eilish zane lowe', 'zane lowe billie eilish', 'finneas', 'lunch', 'billie eilish lunch', 'lunch music video', 'music video', 'teaser', 'song', 'song teaser', 'apple music interview', 'billie eilish apple music']",452895,41470,1446
TjVXrw80MfU,I Built The Most Ridiculous End Portal In Minecraft Hardcore,UC_GDu2QH3kp6vJlgEYyqjUA,Kolanii,20,2024-04-11T14:00:17Z,"['kolanii', 'I Built The Most Over The Top End Portal In Minecraft Hardcore', 'minecraft', 'hardcore']",818507,62380,3047
