id,title,channelId,channelTitle,categoryId,publishedAt,tags,viewCount,likeCount,commentCount
FALlhXl6CmA,Conan O'Brien Needs a Doctor While Eating Spicy Wings | Hot Ones,UCPD_bxCRGpmmeQcbe2kpPaA,First We Feast,24,2024-04-11T15:00:10Z,"['First we feast', 'fwf', 'firstwefeast', 'food', 'food porn', 'cook', 'cooking', 'chef', 'recipe', 'cocktail', 'bartender', 'craft beer', 'complex', 'complex networks', 'spicy food', 'foodie', 'burgers', 'food documentary', 'conan', ""Late Night with Conan O'Brien"", ""The Tonight Show with Conan O'Brien"", 'NBC', 'SNL', 'Saturday night live']",3426773,253011,27822
YyAumYg5Hxc,"Tom MacDonald - ""God Mode""",UCElGBUWDCa05jRzc2PfmGqQ,Tom MacDonald,22,2024-04-12T15:59:13Z,"['Eminem', 'MGK', 'Token', 'Hopsin', 'Merkules', 'Chris Webby', 'Joyner Lucas', 'Tech N9ne', 'Yelawolf', 'Strange Music', 'Jellyroll', 'Upchurch', 'Adam Calhoun', 'Ryan Upchurch', 'Tom MacDonald', 'Tom MacDonald The System', 'Tom MacDonald New Song', 'New Tom MacDonald', 'tom macdonald reaction', 'Tom MacDonald Fake Woke', 'Tom MacDonald Sheeple', 'Tom MacDonald Facts', 'Ben Shapiro Facts', 'Tom MacDonald Ben Shapiro', 'Conservative Rapper', 'Right Wing Rapper', 'tom macdonald machine', 'ben shapiro', 'tom macdonald ben shapiro', 'hip hop']",468094,102815,21174
eVli-tstM5E,Sabrina Carpenter - Espresso (Official Video),UC4mYKePIas5YgGfYZ2J2OxQ,SabrinaCarpenterVEVO,10,2024-04-12T14:00:07Z,"['Sabrina', 'Carpenter', 'Espresso', 'Island', 'Records', 'Pop']",1102272,142326,5820
U4JYAx5rNRA,Bridgerton Season 3 | Official Trailer | Netflix,UCWOA1ZGywLbqmigxE4Qlvuw,Netflix,24,2024-04-11T13:00:00Z,"['Adjoa Andoh', 'Bridgerton', 'Bridgerton Netflix', 'Bridgerton Season 3', 'Bridgerton Season 3 Trailer', 'Bridgerton Series', 'Charithra Chandran', 'Claudia Jessie', 'Florence Hunt', 'Golda Rosheuvel', 'Harriet Cains', 'Jessica Madsen', 'Jonathan Bailey', 'Julia Quinn', 'Julie Andrews', 'Luke Newton', 'Luke Thompson', 'Martins Imhangbe', 'Nicola Coughlan', 'Phoebe Dynevor', 'Polly Walker', 'Ruby Stokes', 'Ruth Gemmell', 'Shonda Rhimes', 'Shondaland', 'Simone Ashley']",3384704,138847,5793
zTBflv2qBKY,Liverpool vs. Atalanta: Extended Highlights | UEL Quarter-Finals 1st Leg | CBS Sports Golazo,UCf8YPuOWXlpTS7RibaJlP4g,CBS Sports Golazo - Europe,17,2024-04-11T21:24:01Z,,826218,8374,1432
LYZW7wH3pVM,Genshin Impact Version 4.6 Special Program #NewVersion #SpecialProgram #GenshinImpact,UCiS882YPwZt1NfaM0gR0D9Q,Genshin Impact,20,2024-04-12T12:00:08Z,"['Amber', 'amber vtuber', 'genshi', 'genshi game', 'genshi impact', 'genshi video', 'genshin', 'genshin game', 'genshin impact', 'genshin impact 2020', 'genshin impact game', 'genshin impact good', 'genshin impact graphics', 'genshin impact introduction', 'genshin impact manga', 'genshin impact wiki', 'geshin', 'geshin game', 'Teyvat', 'yuanshen game', 'miHoYo China', 'miHoYo Japan', 'adventure story', 'open world game', 'anime style', 'MMORPG', 'anime games', 'mobile game', 'MMO PlayStation', 'yt:cc=on']",948870,63644,4107
ezlJzCNrXZ0,UFC 300: Pre-Fight Press Conference,UCvgfXK4nTYKudb0rFR6noLA,UFC,17,2024-04-12T00:59:56Z,"['ufc', 'mma', 'ultimate fighting championship', 'press conference', 'ufc 300', 'Jamahal Hill', 'Alex Pereira', 'Justin Gaethje', 'Max Holloway']",1067395,28606,3266
a9cyG_yfh1k,Dua Lipa - Illusion (Official Music Video),UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa,10,2024-04-11T22:00:08Z,"['dua lipa', 'dua', 'new rules', 'dua leepa', 'idgaf', 'scared to be lonely', 'be the one', 'future nostalgia', ""don't start now"", ""let's get physical"", 'break my heart', 'radical optimism', 'training season', 'houdini']",3312497,221240,12292
5WLAUxb8AUk,"Version 4.6 ""Two Worlds Aflame, the Crimson Night Fades"" Trailer | Genshin Impact",UCiS882YPwZt1NfaM0gR0D9Q,Genshin Impact,20,2024-04-12T12:40:00Z,"['Amber', 'amber vtuber', 'genshi', 'genshi game', 'genshi impact', 'genshi video', 'genshin', 'genshin game', 'genshin impact', 'genshin impact 2020', 'genshin impact game', 'genshin impact good', 'genshin impact graphics', 'genshin impact introduction', 'genshin impact manga', 'genshin impact wiki', 'geshin', 'geshin game', 'Teyvat', 'yuanshen game', 'miHoYo China', 'miHoYo Japan', 'adventure story', 'open world game', 'anime style', 'MMORPG', 'anime games', 'mobile game', 'MMO PlayStation', 'yt:cc=on']",716500,63156,2897
t7bQwwqW-Hc,Shaboozey - A Bar Song (Tipsy) [Official Visualizer],UCmdsVknXGS2145yy8eQvplw,ShaboozeyVEVO,10,2024-04-12T04:00:36Z,"['Shaboozey', 'Bar', 'Song', '(Tipsy)', '[Official', 'Visualizer]', 'American', 'Dogwood', 'EMPIRE', 'Country']",675438,16416,911
